claim_id,surface,manuscript_location,claim_text_abridged,claim_class,evidence_offered,verification_performed,verification_result,evidence_ceiling_max_supported_wording,disposition,ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status
C-102,conclusions,conclusions.tex:84-102,"We report the interaction-structure memory as a controlled negative result: under this design, learning coordinate-pair structure from accepted moves without additional objective evaluations yields no detectable standalone improvement to a GSK optimizer at these dimensions - a boundary on the idea that structure can be learned cheaply.",CAUSAL_CLAIM / GENERALIZATION,X-ABL-02 (S6.5); S6.6 function-class breakdown.,"Read S6.5 (supplementary.tex:1978-2062), S6.6 (:2063-2124) and S5.4's eighth limitation (:1238-1255).","The supplement is more careful than the conclusion: S6.6 says 'this evidence is consistent with zero rather than establishing it' and 'This is a failure to detect an effect under this design, not a demonstration that none exists'; S5.4 discloses that the evidence-bearing runs carry no component-level evaluation ledger or memory-activation trace, 'so ... the standalone null is ... not a demonstration that the memory was active and neutral'. No equivalence test and no power analysis is reported.","'no standalone benefit was detected under this design at the memory's active tiers (CEC2017 D=50/100, CEC2013 D=50); the study does not establish equivalence, and the memory's activation was not instrumented'.",narrow,S3-T04,Stage 3,"R6 (T1-OPT lead, claim inventory)",Moderate,P2,Confirmed,claim-scope,X-ABL-02 / S6.5 / S6.6,"A failure to reject is elevated in the conclusions to 'a boundary on the idea that structure can be learned cheaply', which the design cannot support and which the supplement explicitly disclaims.","conclusions.tex:96-102 vs supplementary.tex S6.6 ('consistent with zero rather than establishing it'; 'a failure to detect an effect under this design, not a demonstration that none exists') and S5.4 ('we cannot report ... how often the learned structure was actually exposed to its consumers'). S6.5 Holm p = 0.983/0.897/0.647 with A12 = 0.51/0.50/0.42 and delta-rank +0.05/+0.16/+0.20.",The honest-framing pass converted an absent result into a positive scientific message; the strengthening ('a boundary on the idea') outran the design.,"§4.6 forbids treating failure to reject as proof of equivalence. Advertising the null is permitted and welcome under the §10.9 narrowing, but the null's epistemic weight must match a three-cell, single-toggle, non-equivalence-tested design with no activation instrumentation.","Moderate. A referee sympathetic to the honesty will still object to 'a boundary', and the fix costs one clause. It also protects the manuscript: an overstated null is as attackable as an overstated gain.","Replace 'a boundary on the idea that structure can be learned cheaply' with a non-equivalence formulation, e.g. 'we could not detect a standalone benefit under this design; the study bounds the effect's plausible size rather than excluding it'. Keep 'controlled negative result' only if the sentence also states that equivalence was not tested.",Alternatively import S6.6's own sentence verbatim into the conclusions ('consistent with zero rather than establishing it').,"Optional and non-blocking: an equivalence (TOST) or minimum-detectable-effect statement on the S6.5 cells, computed read-only from the existing ablation release.",None.,The most quotable sentence of the conclusions becomes defensible against a statistical referee.,"Confirm the conclusions contain no phrasing that asserts the absence of an effect, and that any 'negative result' label is paired with a non-equivalence caveat.",open
C-103,conclusions,conclusions.tex:103-114,Future work: study the memory's activation boundary below D>=50; pair with decomposition-style scaling; evaluate beyond the family under the same locked protocol.,RECOMMENDATION,LM-05; omidvar2014dg card.,Read conclusions.tex:103-114.,Future work is framed as the natural external test of panel-scoped findings; no result is implied.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-110,back matter,main.tex:227-251,"Data Availability: implementation, harness, per-run CSVs, seed schedules and per-cell manifests are publicly available; all primary values derive from one immutable release; the supplementary component-isolation study draws on a separate immutable release.",ADMINISTRATIVE,CN-02; evidence_release_manifest.json; analysis_checksums.sha256.,Read main.tex:227-251.,"Correctly discloses the two-release structure (which is what makes performance.tex:23-25 over-broad, ticket S3-T08). No raw release ID is printed in reader-facing prose (§10.17.4 satisfied).",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-111,back matter,main.tex:261-284,"GenAI use: an LLM assisted with language editing and drafting of descriptive prose; no scientific content, experiment, datum, statistic or claim was AI-generated.",COMPLIANCE,AG-0007; MDPI generative-AI policy.,Read main.tex:261-284 and the matching Acknowledgments block; the same disclosure appears in performance.tex:189-193 and in the cover letter.,Methods-level description + tool/version in Acknowledgments + declaration: all three MDPI requirements present and mutually consistent.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-112,back matter,main.tex:288-297,Conflicts of interest: A.W.M. originated GSK and co-authored AGSK/APGSK/eGSK/ATMALS-GSK; H.S.M.R. co-authored eGSK; M.E.M. is A.W.M.'s PhD student.,COMPLIANCE,administrative_gap_register.md AG-0004.,"Read main.tex:288-297; the same relationship is restated as a limitation (supplementary S5.4, seventh) and in the cover letter.",Full disclosure of the comparator-authorship overlap in three places - the correct handling of the §10.13 same-family/fairness risk.,As printed (author confirmation of the wording still outstanding per AG-0004).,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-113,back matter,"main.tex:96-98, 112",Placeholder ORCIDs (0000-0000-0000-0000) and a bracketed institutional e-mail remain in the rendered PDF.,ADMINISTRATIVE,AG-0002 (administrative_gap_register.md).,pdftotext DT-GSK.pdf line 9 shows '[H.S.M.R. institutional e-mail -- to be added at submission]'.,"Known, registered author-fill items, deliberately not invented. Reader-facing placeholders are a §10.17.4 concern and belong to the s-format/venue seats; recorded here for completeness only.",Author action before submission.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-120,cover letter,cover_letter.md:22 vs cover_letter.tex:55 / cover_letter.pdf,"...evaluated under a byte-stable, release-locked protocol. [Markdown] vs ...evaluated under a release-locked protocol, with byte-stable determinism for DT-GSK in the declared supported environment. [TeX/PDF]",IMPLEMENTATION,R-09 remediation; CL-01/CL-02.,Diffed cover_letter.md against cover_letter.tex and pdftotext cover_letter.pdf; ran papers/scripts/validate_document_consistency.py.,"The shipped PDF carries the narrowed R-09 wording. cover_letter.md still carries the pre-fix universal claim. The project's own drift gate reports 'OK - all cross-stated facts agree' because it compares only title, date, corresponding author, GenAI tool/version and contribution markers.","'byte-stable determinism for DT-GSK in its declared supported environment' - the TeX wording. The universal form is not supported: performance.tex:179-184 states byte-identical reproduction at D>=50 requires single-threaded kernels, and fp_environment_audit.md §2 records that comparator kernels carry no numerical probe.",narrow,S3-T06,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P2,Confirmed,claim-scope,R-09 / CL-02,"R-09's byte-stability narrowing was applied to the TeX cover letter but not to the Markdown cover letter that ships in the same tree, and the consistency gate cannot see the difference.","cover_letter.md:22 'evaluated under a byte-stable, release-locked protocol' vs cover_letter.tex:55 and cover_letter.pdf 'evaluated under a release-locked protocol, with byte-stable determinism for DT-GSK in the declared supported environment'. validate_document_consistency.py exits 0 (checks only title/date/corresponding/GenAI/contribution markers).",Two hand-maintained parallel sources for one document; the R-09 edit touched one of them.,"§5.5 rates a superseded parallel source in the tree as Major precisely because it can be submitted by accident. Here the PDF is the submission artifact, so the exposure is lower - but the .md is the file a co-author is most likely to reuse, and it asserts a byte-stability property for the whole seven-optimizer protocol that the manuscript itself declines to claim.",Low on the shipped package; moderate on repeatability of the remediation.,Apply the R-09 wording to cover_letter.md:22 and extend validate_document_consistency.py to compare the scientific-claim sentences of the two cover letters (or generate one from the other).,Delete cover_letter.md from the submission tree and keep the TeX as the single source.,None.,R-09.,Closes R-09 across both sources and makes the gate able to catch the next divergence.,"Re-run validate_document_consistency.py after extending it, and diff the two cover-letter bodies sentence by sentence.",open
C-121,cover letter,cover_letter.tex:55,"To our knowledge, DT-GSK attains the best overall CEC2017 Friedman mean rank on the seven-algorithm GSK-family panel (2.48 ...; eGSK second at 2.96).",COMPARATIVE_RESULT,CL-02; AN-RANKAGG-2017-OVERALL.,Verified 2.482759 / 2.961207; grepped both cover letters for priority wording.,"The retired 'first GSK-family variant to ...' priority claim is absent from all three cover-letter artifacts (M-034 closed). 'To our knowledge' now attaches to a measured, panel-scoped rank.",As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-122,cover letter,"cover_letter.tex:55, 57",Its direct isolation is reported transparently as a controlled negative result (no significant standalone benefit at its active tiers) ... the added value of the learned basis over coordinate or random directions remains unresolved.,STATISTICAL_RESULT / LIMITATION,X-ABL-02; S6.5.,Read cover_letter.tex:55-57 and pdftotext of the PDF.,The cover letter scopes the null ('at its active tiers') more carefully than the abstract does (ticket S3-T11) and volunteers the basis-isolation gap.,As printed.,accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",,,Confirmed,,,,,,,,,,,,,,verified
C-130,governance,"papers/governance/claims_evidence_matrix.csv rows CL-01, CL-02, HL-01, RS-08, AB-02",Frozen claim registry still authorizes claims the manuscript has retired.,ADMINISTRATIVE,CLAIM_EVIDENCE_MATRIX (§10.1 binding).,Dumped all 50 rows and compared each against the shipped artifacts.,"CL-02 (status ACCEPTED_PHASE_6) still reads 'to our knowledge the first GSK-family variant to learn and exploit accepted-move interaction structure ... evaluated under a byte-stable release-locked protocol' - both retired (M-034, R-09). CL-01 binds the letter to 'the C1-C4 contribution scopes' although R-08 fixed the contributions at C1-C3. HL-01 (ACCEPTED) specifies Highlights bullets with ISM as bullet (1) and 'C1-C4'; the MDPI package ships no Highlights. RS-08 still names 'Vargha-Delaney A12 / Cliff's delta ... with win/tie/loss tallies' as the tabulated effect-size claim, superseded by M-027's rank-biserial column. AB-02 still describes the ISM overlay as a 'CEC2013 hold-out ablation design' although S6.5 runs CEC2017 D50/D100 + CEC2013 D50.","The registry should describe the shipped package: C1-C3, no priority claim, no Highlights, r as the tabulated effect size, and the S6.5 design as actually run.",narrow,S3-T09,Stage 3,"R6 (T1-OPT lead, claim inventory)",Minor,P3,Confirmed,compliance,CL-01; CL-02; HL-01; RS-08; AB-02,The frozen claims-evidence matrix - the artifact §10.1 designates as the authority on permitted wording - is stale in five rows relative to the manuscript it governs.,"claims_evidence_matrix.csv rows CL-01, CL-02 (retired priority claim + retired byte-stability wording, both ACCEPTED_PHASE_6), HL-01 (Highlights that do not exist; C1-C4), RS-08 (A12/Cliff's delta as the tabulated effect size), AB-02 ('CEC2013 hold-out' design description).","Manuscript-side remediations (M-004, M-027, M-034, R-08, R-09) were verified against the rendered artifacts but not back-propagated into the frozen registry.","§10.1 requires the review to audit the governance artifacts for internal consistency, and a registry that authorizes a retired priority claim is a live re-introduction risk at any future edit. RS-08's staleness is the same root cause as the A12 defect in §4.2.3 (S3-T01).","Low on the current package; it is the control that is supposed to prevent the S3-T01 class of drift, so leaving it stale keeps that risk open.","Update the five rows to the shipped state (or mark them SUPERSEDED with a pointer to the deciding ticket), and add a registry row for the comparator budget-crossing claim (S3-T05).","Add a SUPERSEDED_BY column rather than editing the frozen text, preserving the audit trail.",None.,"S3-T01, S3-T05, S3-T06.","The registry again matches the manuscript, so the permitted-wording control is usable at the next revision.",Re-dump the matrix and confirm every ACCEPTED/READY row is instantiated somewhere in the shipped package and vice versa.,open
C-131,review-input,PAPER_REVIEW_PROMPT.md §1.5 (lines 118-602) and §10.7 RT-001 (line 3299),The governing prompt's embedded project snapshot is stale relative to the repository.,ADMINISTRATIVE,PAPER_REVIEW_PROMPT.md §1.4 precedence.,Compared §10.7 RT-001 and the §10.9 narrowing note against the shipped manuscript and the release.,"(a) RT-001 states the runtime table is being brought into single-environment comparability by re-timing all six comparators, and instructs the review to treat the cells as in-progress. The repository resolved it differently and completely: Table 16 now reports DT-GSK's own cost only, the comparator columns are gone, no cross-algorithm claim is made, and cost_cec2017.csv carries a NOT-COMPARABLE-ACROSS-ALGORITHMS flag. (b) §1.5 is dated 2026-07-20 and predates R-01..R-14 (HEAD 45248eb31). (c) The §10.9 narrowing describes the ISM null as advertised 'briefly: one abstract sentence plus the introduction's supporting-component paragraph'; the shipped manuscript states it in five reader-facing places (abstract, introduction, §4.6 discussion, conclusions, and the \supplementary block). Under the narrowing the prohibition binds favorable results only, so this is NOT a §10.9 leak - but the prompt's 'briefly' characterisation no longer describes the manuscript.",The repository state governs (§1.4).,accept,S3-T15,Stage 3,"R6 (T1-OPT lead, claim inventory)",Advisory,P4,Confirmed,compliance,PAPER_REVIEW_PROMPT §1.5 / §10.7 RT-001 / §10.9 note,Recorded as instructed: the review prompt's own snapshot contradicts the current repository in three places.,PAPER_REVIEW_PROMPT.md:3299 (RT-001 'IN PROGRESS ... re-timing all six comparators') vs performance.tex:738-784 and cost_cec2017.csv comparability field; PAPER_REVIEW_PROMPT.md:118-602 dated 2026-07-20 vs HEAD 45248eb31 (R-01..R-14 landed 2026-07-21/22); PAPER_REVIEW_PROMPT.md:3327-3341 ('briefly: one abstract sentence plus the introduction's supporting-component paragraph') vs five reader-facing statements of the null.,The prompt embeds a point-in-time snapshot that the remediation cycle has overtaken.,A later reviewer following §1.5 literally would raise a resolved runtime ticket and would mis-scope the ISM-null disclosure question.,None on the manuscript; the risk is wasted review effort and spurious tickets.,"Refresh §1.5 and close RT-001 in the prompt, recording that the remedy was 'report DT-GSK cost only, no cross-algorithm comparison' rather than a comparator re-timing; align the §10.9 note's 'briefly' description with the shipped five locations or state the intended cap.",Add a dated 'superseded by repository state at commit X' banner to §1.5.,None.,None,Future review passes start from the true state.,Re-read §1.5/§10.7 after the update and confirm they match the repository.,open
S3-SUM-REMOVE,STAGE-3 SUMMARY,abstract (main.tex:127-153) and conclusions (conclusions.tex:65-102),"REQUIRED OUTPUT 2 - claims that must be removed from, or narrowed in, the abstract or conclusion.",ADMINISTRATIVE,see the itemised rows above,synthesis of the verified rows in this file,NARROW: (1) abstract 'A direct isolation finds no detectable standalone benefit' -> add 'at its active tiers' [S3-T11]; (2) abstract 'the two are never Nemenyi-separable' -> scope to CEC2017/CEC2011 or print the CEC2013 CD [S3-T12]; (3) conclusions 'a boundary on the idea that structure can be learned cheaply' -> non-equivalence wording [S3-T04]; (4) conclusions 'Eleven limitations' -> drop the count or renumber S5.4 (it enumerates nine) [S3-T07]. NOT flagged: the advertised ISM null itself is permitted by the section 10.9 narrowing and must NOT be removed.,Nothing in the abstract or conclusions must be REMOVED: every headline number reproduces exactly from the release. Three items must be NARROWED and one countable claim corrected.,narrow,,Stage 3,"R6 (T1-OPT lead, claim inventory)",Advisory,P3,Confirmed,claim-scope,,No abstract/conclusion claim requires deletion; four require narrowing.,,,,,,,,,,,summary
S3-SUM-ANALYSIS,STAGE-3 SUMMARY,papers/analysis/rel-2026-07-20-67d9345f9 and tests/regression/,"REQUIRED OUTPUT 3 - claims needing additional analysis or evidence (all satisfiable read-only; no rerun, no new evidence release).",ADMINISTRATIVE,see the itemised rows above,synthesis of the verified rows in this file,"(a) [S3-T01] emit across-function A12 rows (or restate the four quoted values as r) so every reported statistic has a machine-readable row in primary_stats/statistical_results.csv - re-export from the frozen bundle, no rerun; (b) [S3-T05] register the comparator budget-crossing claim in claims_evidence_matrix.csv and, optionally, extend the poison probe beyond the single D=10 sphere cell; (c) [S3-T04] optional TOST / minimum-detectable-effect statement on the three S6.5 cells, computed from the existing ablation release, to replace 'a boundary' with a bounded-effect statement.","Three optional, read-only strengthenings; none blocks submission.",qualify,,Stage 3,"R6 (T1-OPT lead, claim inventory)",Advisory,P3,Confirmed,claim-scope,,No new experiment is required; three read-only additions would close the remaining evidence gaps.,,,,,,,,,,,summary
S3-SUM-CEILING,STAGE-3 SUMMARY,whole manuscript,REQUIRED OUTPUT 4 - claims ceiling: the strongest defensible overall conclusion.,ADMINISTRATIVE,see the itemised rows above,synthesis of the verified rows in this file,"Every constituent number in this ceiling statement was independently recomputed from the release during this stage; see rows C-003, C-062, C-065, C-069, C-071, C-073.","Within a seven-algorithm GSK-family panel evaluated under one code base, one budget-fair paired protocol and one hash-frozen configuration, DT-GSK holds the best descriptive across-dimension mean of per-dimension Friedman mean ranks on CEC2017 (2.48 vs eGSK 2.96) and on CEC2013 (2.80 vs 3.41), and places second of seven on CEC2011 (3.36 vs 2.52). Within dimension it wins 17 of 24 Holm-corrected CEC2017 cells with no significant loss (15 of 24 under a single 24-hypothesis Holm family), but it is never Nemenyi-separable from eGSK on any suite or dimension, loses the head-to-head function counts to eGSK at every D>=30, and records one Holm-significant loss (to eGSK on CEC2011). CEC2017 is development-exposed. The structure memory and the eigenframe polish are gated to D>=50, so the D<=30 results characterise the adaptive scaffold alone; a direct isolation detects no standalone benefit from the structure memory at its active tiers, and the polish contrast cannot separate the learned basis from the compass endgame. Nothing here supports a field-wide, state-of-the-art, runtime, or per-component causal claim, and the evidence ceiling is D=100 on a single host.",accept,,Stage 3,"R6 (T1-OPT lead, claim inventory)",Advisory,P4,Confirmed,claim-scope,,The manuscript already asserts approximately this ceiling at performance.tex:857-875; that sentence should be treated as the canonical headline wording.,,,,,,,,,,,summary
