# Stage 13 - Figures, tables, equations, algorithms and visual-evidence audit (Gate M)
# Seat s13_exhibits | package: git HEAD 45248eb31, freeze anchor abd2fa2f25c8, evidence release rel-2026-07-20-67d9345f9
# Section 1: exhibit inventory, Appendix A.4 schema. Section 2 (below the marker row): findings in the mandatory section 5.4 ticket schema.
# Homogeneous supplement figure families that share one generator and one defect are audited as one row each, with their members named in artifact_id.
artifact_id,type,document_location,research_question,source_paths,generator,command,source_checksums,output_checksum,caption_complete,value_or_point_validation,legibility,accessibility,cross_format_match,issue_ticket_ids,status,notes
S13-05,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,exhibit,"main PDF p.13, Table 4 first data row; sections/proposed_algorithm.tex:139; DT-GSK.docx Table 4 cell",TAB-4 (tab:architecture),"Table 4's inherited-core row directs the reader to '(rows 3, 5)' for the two modified elements, but row 5 is unrelated to selection and no row covers it.","proposed_algorithm.tex:139 renders as '... the crossover mask and greedy-selection ties are modified (rows 3, 5; Eq. (9))'. The printed row numbering of Table 4 is 1 NLPSR, 2 ACE + ARGP, 3 Linkage-aware block crossover, 4 ISM, 5 Local search (coordinate), 6 BSE, 7 High-D controllers, 8 Eigenframe polish. Row 3 is correct for the crossover mask; row 5 is 'Local search (coordinate)', which has no bearing on greedy-selection ties, and no row of Table 4 covers selection at all. The pointer also does not resolve against Table 5's rows (3 = ACE, 5 = ISM) or against contribution_matrix.md (row 3 = greedy selection, row 5 = NLPSR). The same broken pointer appears verbatim in the DOCX table cell.",A stale internal row pointer left behind when the architecture table was reorganised.,Stage 13 requires every cross-reference inside an exhibit to resolve. A build-internal row pointer that misdirects the reader is the same defect class the prompt calls out for internal registry IDs printed where a reader-facing reference belongs.,Camera-ready traceability defect in the very table that defines the paper's contribution boundary.,"Replace '(rows 3, 5; Eq. (9))' with a resolving reader-facing reference, for example '(the crossover mask of row 3, Eq. (5); the tie-accepting selection rule of Eq. (9))'.",Drop the row pointer entirely and cite only the equations.,Author confirmation of what 'row 5' was intended to designate.,Fix together with S13-06 so Tables 4 and 5 tell one story about Eq. (5) and Eq. (9).,Every pointer in Table 4 resolves to its intended referent in both formats.,Read the rebuilt PDF and DOCX cell and confirm each referenced row and equation matches its target.,open
S13-06,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,exhibit,"main PDF pp.13-14, Tables 4 and 5; sections/proposed_algorithm.tex:139, 240, 243","TAB-4, TAB-5, EQ-5, EQ-9","Tables 4 and 5 disagree on whether the crossover mask Eq. (5) is inherited or a contribution, and Table 5 assigns it to two of its own rows at once.","Table 4 (proposed_algorithm.tex:139) scopes the inherited core to 'Eqs. (1)-(4), (8)' and gives Eq. (5) its own row classified 'scaffold'. Table 5 (line 240) scopes the inherited core to 'Eqs. (1)-(5), (8), (9)', swallowing both Eq. (5) and Eq. (9), and then line 243 lists 'Linkage block crossover (Eq. (5))' as a separate row of the same table. phase_03/contribution_matrix.md row 8 classifies the linkage-aware block crossover as MOD (modified), and the Sec.3 opening lists the crossover mask among the modified generation mechanics.",The two tables were maintained independently; the Table 5 equation range was never narrowed when the crossover mask was promoted out of the inherited core.,A main-text table that labels a claimed contribution 'inherited' understates the paper's own contribution boundary and contradicts the adjacent table - exactly the internal inconsistency Stage 13 tests for.,A reviewer auditing the contribution claims finds the paper contradicting itself about which equations are new; it weakens the C2 claim without cause.,"Narrow Table 5's inherited-core row to 'Eqs. (1)-(4), (8)' to match Table 4 and contribution_matrix.md, and either remove Eq. (9) from that row or annotate it in both tables as inherited-with-modified-tie-handling.",Keep the wider range but add an explicit parenthetical '(crossover mask and tie handling modified; see the rows below)'.,None.,S13-05.,"One consistent equation-to-contribution mapping across Tables 4 and 5, the equation registry and Section 3.",Diff the equation ranges printed in the rebuilt Tables 4 and 5 against the class column of phase_03/contribution_matrix.md.,open
S13-07,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,exhibit,"main PDF p.28, Figure 4; papers/scripts/generate_nemenyi_cd.py:215 and :227",FIG-4 (fig:cd-cec2017),"The four comparable Nemenyi panels are drawn on different x-axis scales, so the constant CD = 1.67 renders at four different physical lengths.","generate_nemenyi_cd.py:215 sets x_max = max(values) per panel and line 227 sets ax.set_xlim(0, x_max * 1.22). The per-panel worst ranks are 5.52, 5.41, 5.34 and 5.90, giving x-limits of 6.73, 6.60, 6.51 and 7.20. The rendered p.28 confirms it: the D=10/30/50 panels tick to 6 and the D=100 panel ticks to 7. Because all four panels occupy the same physical width in the 2x2 grid, the same 1.67 rank-unit CD bar is about 7 percent shorter in the D=100 panel than in the D=50 panel.",Per-panel autoscaling in a helper written for standalone single-panel figures and then reused for a comparative grid.,"Stage 13 requires identical scales for genuinely comparable panels. The distorted element here is the CD reference span itself - the one annotation the reader uses to judge separability - so the distortion falls on inferential content, not decoration.",Misleading visual encoding across panels: a reviewer comparing panels by eye forms different separability impressions than the numbers support.,"Set one shared x-limit for all four panels (for example 0 to 7.2, or 0 to k with k = 7 algorithms) so bar lengths and the CD span are directly comparable, and state the shared scale in the caption.","Keep autoscaling but draw the four panels on a shared axis object, or annotate each panel with the CD as a fraction of its own axis.",None.,Fix in the same regeneration as S13-01.,Cross-panel comparability restored; the CD bar has one length throughout the figure.,"Assert the four axes report identical get_xlim() at generation time, and confirm on the rebuilt PDF that the four CD bars have equal pixel width.",open
S13-08,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,exhibit,"main PDF p.13, Figure 2; papers/figures/concept/fig_dtgsk_flowchart_src.tex:43 and :45",FIG-2 (fig:dtgsk-flowchart),The DT-GSK flowchart states the selection rule and the crossover rule in forms the paper's own equations and pseudocode contradict.,"fig_dtgsk_flowchart_src.tex:45 reads 'Repair bounds, evaluate, and greedily accept improving trials', but Eq. (9) is f(v_i) <= f(x_i); Algorithm 1 step 15 reads 'Greedily keep each no-worse trial'; proposed_algorithm.tex:80 reads 'a child replaces its parent if it is no worse (<=; ties accepted)'; lines 86-87 call the <= tie-handling 'the only relaxation' of the inherited operator; and Table 4 row 1 lists 'greedy-selection ties are modified' as a named difference. Line 43 reads 'Apply the linkage-aware block crossover mask ($D\ge10$; else the $KR$ mask)', but Eq. (5), Algorithm 1 step 12 and Tables 4-5 specify that only a tier-dependent FRACTION of rows (about 70 percent at D>=50, 40 percent at 20-49) takes a linkage block, the remainder keeps the KR mask, and at D>=50 the block is used only when the confidence gate passes.",The flowchart was drafted from base-GSK wording and never re-checked against the frozen operator after the tie-handling and fractional-mask specifications were tightened.,"Sec.10.17.6 requires behaviour preservation and fidelity to the code in every procedural diagram, and Sec.10.6 makes the frozen code govern where prose and code disagree. A reader reimplementing from Figure 2 would build strict-improvement selection and an all-rows block mask.","Method-inaccurate main-text figure on a point the paper explicitly claims as one of its modifications; it undercuts the contribution rather than overstating it, but it is still wrong.","Change the accept box to 'Repair bounds, evaluate, and greedily keep each no-worse trial (<=; ties accepted)'. Change the crossover box to 'Apply the linkage-aware block crossover mask to a tier-dependent fraction of rows (D>=10; the remaining rows keep the KR mask)'. Recompile fig_dtgsk_flowchart_src.tex and rebuild both formats.",Shorten to 'greedily keep no-worse trials' and 'block mask on a row fraction; else KR mask' if box space is tight.,None.,"No code change - the optimizer core is byte-locked, so the figure is corrected to the code.","Figure 2 agrees with Eq. (5), Eq. (9), Algorithm 1 and Tables 4-5.",Extract the text of the regenerated fig_dtgsk_flowchart.pdf and assert it contains 'no-worse' and 'fraction' and does not contain 'improving trials'.,open
S13-09,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,exhibit,main PDF p.7 (Sec.3.1 recap); sections/proposed_algorithm.tex:71; papers/build_prompt_phases/phase_03/equation_registry.csv row E3,"EQ-4 (eq:gsk-update), TAB-3 (tab:notation) - R-01 follow-up","R-01 was closed in the rendered equation and the notation table but not in the prose or in the declared canonical equation registry, both of which still carry a single undefined sign symbol s.","Eq. (4) as printed on PDF p.8 (and as native OMML in the DOCX) defines s_J and s_S, and Table 3 on p.8 carries the row 's_J, s_S | junior/senior comparison sign (Eq. 4) ...'. But proposed_algorithm.tex:71 still reads '$s\in\{+1,-1\}$ is the sign of the fitness comparison ...', which renders on PDF p.7 and in the DOCX, and no bare symbol s appears anywhere in the three notation tables. equations.tex:3 declares 'Canonical source: papers/build_prompt_phases/phase_03/equation_registry.csv'; that file's E3 row still reads '... + s*(x_{R3}-x_i); senior: ... + s*(x_{R2}-x_i); s=+1 iff the fitness-compared source (junior R3 / senior R2) is fitter than x_i, else s=-1' - a single s. (By contrast the R-02 corrections to registry rows E4 and E8 are correctly present.)","R-01 edited the rendering layer (equations.tex, notation_table.tex, notation_table.md) without propagating to the upstream registry row that the build declares canonical, or to the recap paragraph that first introduces the symbol.","Stage 13 requires symbols to be consistent with the notation table. The registry is the artifact the build declares authoritative for the printed equation, so a divergence there silently re-opens the drift R-01 closed, and the prose leaves an undefined symbol in the reader's path.",Not a numerical error - the semantics stated in prose are correct - but it is an incomplete closure of a Critical-tier remediation and it leaves the declared canonical source out of step with the printed display.,"Change proposed_algorithm.tex:71 to '$s_J,s_S\in\{+1,-1\}$ are the per-phase signs of the fitness comparison ...' (the sentence already names R_3 and R_2, so no new content is required), and update equation_registry.csv row E3 to the per-phase s_J/s_S form so the canonical row matches the printed display.","If the registry is deliberately frozen, add an explicit supersession note in the E3 row rather than leaving it silently divergent.",Confirmation from the build owner that equation_registry.csv remains the declared canonical source (equations.tex:3 says it does).,Closes out R-01 fully.,"One sign notation across registry, equation, notation table, prose, PDF and DOCX.","grep the rebuilt PDF and DOCX for a standalone 's in {+1,-1}' and expect zero hits; diff equation_registry.csv row E3 against the E3 block of equations.tex.",open
S13-10,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,production,"supplementary PDF pp.11-16; supplementary.tex:365, 384, 412, 424, 434, 448",S-TAB-A10..A14,"Supplement tables are typeset out of numerical order: Table A14 appears on page 11, before Tables A10-A13 on pages 12-15.","A caption-position scan of supplementary.pdf yields Table A9 -> p.11, Table A14 -> p.11, Table A10 -> p.12, A11 -> p.13, A12 -> p.14, A13 -> p.15, A15 -> p.16. The source order in supplementary.tex is correct (tab:cec2011-stats:365, tab:cec2011-perproblem:384, cec2013-d10:412, cec2013-d30:424, cec2013-d50:434, cec2013_wilcoxon:448), so the numbering is right and only the placement is wrong.","The four large five-statistic tables A10-A13 are long deferred floats while the small A14 summary is placed in flow, so a reader walking the document meets A14 four tables early.",Numbered exhibits must appear in the order they are numbered; out-of-order placement is a standard copy-editing defect and is disorienting in a 61-page supplement.,Production and readability defect; no scientific consequence.,"Move the A14 float after the A13 block, or move the A10-A13 block before the CEC2013 subsection, so the printed order is A9, A10, A11, A12, A13, A14, A15.","Leave the placement and instead move the A14 source block after A13, letting the counter renumber it.",None.,None.,Monotone exhibit numbering through the supplement.,Re-run the caption-position scan on the rebuilt supplementary.pdf and assert the page-ordered table numbers are non-decreasing.,open
S13-11,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,exhibit,"supplementary PDF p.11, Table A9; papers/tables/T06.tex:6-12 (compare papers/tables/T14.tex:6-12, which renders on the same page)",S-TAB-A9 / TAB-T06,"Table A9 prints integer counts and rank sums with four decimal places and uses ad-hoc non-mathematical row labels, while the table immediately below it on the same page prints the identical quantities correctly.","T06.tex:6-12 = 'R+ & 159.0000', 'R- & 51.0000', 'p value & 0.0458', 'p holm & 0.1374', 'Wins$+$ & 13.0000', 'Ties$=$ & 2.0000', 'Losses$-$ & 7.0000', 'Decision & ='. T14.tex:6-12, rendered on the same supplement page, = '$R^+$ & 340', '$R^-$ & 11', '$p$-value', '$p_{\mathrm{Holm}}$', 'Wins (+) & 24', 'Ties ($\approx$) & 2', 'Losses ($-$) & 2', 'Decision & +'. The main-text Table 14 uses the same '+ / approx / -' decision vocabulary as T14, not T06's '='.",T06 is emitted by an older code path in generate_latex_tables.py that formats every numeric cell with a fixed four-decimal float and does not map metric names to mathematical labels.,"Stage 13's table audit requires named statistics, consistent decimal notation and defined symbols. '13.0000 wins' reads as raw machine output (Sec.10.17.1), and the divergent decision glyph breaks the symbol vocabulary the main-text caption establishes.","No value is wrong; it is a credibility and consistency defect on the page a reviewer opens first in the supplement, made conspicuous by the correctly formatted table directly beneath it.","In generate_latex_tables.py, format count-like metrics (R+, R-, wins, ties, losses) as integers, emit math labels $R^+$, $R^-$, $p$-value, $p_{\mathrm{Holm}}$, Wins (+), Ties ($\approx$), Losses ($-$), and use the '+ / approx / -' decision glyphs so T06 matches T14 and T15. Regenerate T06.tex and rebuild.","Hand-correct T06.tex if the generator is frozen, and record the manual edit in artifact_binding.csv.",None - the underlying values are already validated.,Same generator as S13-23.,"One numeric and symbolic convention across T06, T14 and T15.","Assert no cell in papers/tables/*.tex matches an integer followed by '.0000', and that the decision glyph set is identical in T06, T14 and T15.",open
S13-12,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,reproducibility,papers/governance/artifact_binding.csv; main PDF p.28 Figure 4; sections/performance.tex:461,FIG-4 / nemenyi_cd_cec2017_grid.pdf,"The figure actually shipped as Figure 4 has no artifact-binding row; only four superseded single-panel PDFs are bound, under manuscript labels that do not exist.","grep of papers/governance/artifact_binding.csv for 'nemenyi_cd_cec2017_grid' returns 0 hits, while performance.tex:461 includes figures/nemenyi/nemenyi_cd_cec2017_grid.pdf (sha256 de79a8c7504c0635aef8a4351f3972a4d5c0c286b0530856e460476574688fb0). The registry instead carries FIG-CD-D10/D30/D50/D100 pointing at nemenyi_cd_cec2017_D*.pdf with manuscript_label fig:cd-d10..fig:cd-d100; no such labels exist in any .tex (the manuscript uses fig:cd-cec2017). Five further rows carry labels that no longer exist: fig:rank-vs-dim and fig:friedman_bar_gsk (both scope=main although they are supplement figures fig:supp-rank-trend and fig:supp-overall-ranks) and fig:architecture, fig:sgsm-mechanism, fig:dim-gating and fig:taxonomy (all now native tables with tab: labels). Where the registry IS current it is accurate: I independently recomputed and matched the recorded checksums for main_cec2017_D30.pdf, cec2017_mean_ranks.pdf and cec2011_ranks.pdf.","The four CD panels were consolidated into one 2x2 grid for the main text without a matching registry update, and several figure-to-native-table conversions were likewise not reflected.","Sec.10.11 requires every figure and table to carry source paths, commands, release IDs and checksums. A main-text figure with no binding row cannot be provenance-checked by an editor or by the project's own gate.",Gate A / Sec.10.11 exposure: the exhibit carrying the paper's separability evidence sits outside the binding registry.,"Add a FIG-CD-GRID row for nemenyi_cd_cec2017_grid.pdf with its four friedman_ranks and nemenyi_cd source CSVs, generator generate_nemenyi_cd.py, the command, evidence_release_id rel-2026-07-20-67d9345f9, the output checksum and manuscript_label fig:cd-cec2017; correct or retire the seven stale manuscript_label values and fix the two scope=main rows that are actually supplement figures.",Keep the four panel rows as historical and add a superseded_by field pointing at the new grid row.,None.,"Apply after S13-01 and S13-07 regenerate the grid, so the recorded checksum is the shipped one.","Every shipped exhibit resolves to exactly one binding row, and every binding row resolves to a live manuscript label.","Assert that every \includegraphics target in main.tex and supplementary.tex appears in artifact_binding.csv, and that every manuscript_label in artifact_binding.csv resolves to a \label in the sources.",open
S13-13,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Moderate,P2,Confirmed,reproducibility,papers/governance/table_figure_source_map.csv; papers/governance/ (exhibit_plan.csv absent); PAPER_REVIEW_PROMPT.md:3174,REG-table_figure_source_map.csv,"A second, stale exhibit-source registry contradicts the live one, and the governance artifact the review prompt binds for exhibits does not exist at all.","table_figure_source_map.csv names FIG-ismgsk-flowchart -> papers/figures/concept/fig_ismgsk_flowchart.pdf (renamed to fig_dtgsk_flowchart.pdf); FIG-taxonomy -> papers/figures/taxonomy/metaheuristic_tree.pdf ('ls: cannot access papers/figures/taxonomy: No such file or directory' - the taxonomy is now a native table); FIG-nemenyi -> nemenyi_cd_d50.pdf (not the shipped exhibit); FIG-friedman -> friedman_gsk_family.pdf as a main-text figure (it is a supplement figure); FIG-nlpsr -> figures/traces/nlpsr_trajectory.pdf (actual path figures/concept/fig_nlpsr_schedule.pdf); and manuscript_location 'main:sections/literature_review.tex:42' (no such file; it is sections/related_work.tex). Every recorded line number has drifted. Separately, PAPER_REVIEW_PROMPT.md:3174 binds papers/governance/exhibit_plan.csv as a required GOVERNANCE_AND_GATE_ARTIFACTS member; the file is absent from papers/governance/.",Two overlapping registries were maintained in parallel; only artifact_binding.csv was kept current through the ISM-to-DT-GSK rename and the figure-to-table conversions.,Sec.10.11 exhibit source binding depends on a single authoritative registry. Two registries that disagree mean an auditor cannot determine which is normative.,"Governance-artifact integrity rather than a manuscript defect, but it is the first thing a reproducibility reviewer will trip over, and the missing exhibit_plan.csv is a Sec.10.1 binding gap.",Either regenerate table_figure_source_map.csv from the live tree or mark it superseded by artifact_binding.csv with a header note and drop it from any manifest that still asserts it. Record explicitly which artifact discharges the Sec.10.1 exhibit_plan.csv binding.,Delete the legacy file and add a redirect note in papers/governance/asset_map.md.,Author decision on which registry is normative.,S13-12.,One authoritative exhibit registry whose every path resolves on disk.,Confirm papers/governance contains exactly one live exhibit registry and that every path it names exists.,open
S13-14,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Minor,P3,Confirmed,exhibit,"main PDF p.25 (Table 13), p.26 (Figure 3), p.28 (Figure 4); supplementary PDF p.17 (Figures B1 and B2)","TAB-13, FIG-3, FIG-4, S-FIG-B1, S-FIG-B2",The 7x4 CEC2017 Friedman mean-rank matrix is presented five times across the two documents.,"Table 13 prints the 28 values plus the Overall column; Figure 3 replots the same 28 values as grouped bars and its own caption calls it a 'companion to Table 13'; Figure 4 plots the same 28 values again, sorted, with the CD annotation; supplement Figure B1 plots the Overall column; supplement Figure B2 plots DT-GSK's four values against dimension. The same four DT-GSK values are additionally quoted verbatim in the Sec.4.2.2 and Sec.4.7 prose.",Exhibits accumulated across successive drafts without a redundancy pass.,"Stage 13 asks of every exhibit whether it is redundant with another. Figure 3 adds no information over Table 13 and is strictly subsumed by Figure 4, which shows the same ranks plus the separability annotation.","No validity impact. It costs main-text page budget (Sec.10.14) that would be better spent enlarging Figure 4, and it invites the reviewer comment that the same numbers appear three times.","Drop Figure 3 from the main text - Table 13 and Figure 4 already carry it - or move it to the supplement, and use the recovered space to render Figure 4 at legible size.","Keep Figure 3 and instead reduce Figure 4 to a single D=100 CD panel, with the other three panels in the supplement.",None.,Interacts with S13-01: removing Figure 3 frees exactly the page space that fixing Figure 4's legibility needs.,One numeric and one graphical presentation of the rank matrix instead of five.,Confirm the rebuilt main text presents the rank matrix at most twice.,open
S13-15,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Minor,P3,Confirmed,exhibit,"main PDF p.20, Table 10 caption and cells; main PDF p.6, Table 2 caption","TAB-10 (tab:parameters), TAB-2 (tab:taxonomy)","Table 10 exposes build-internal tokens in reader-facing cells, promises a display convention it never uses, and drops the CEC2011 budget exception; Table 2's caption omits the upper-tier cadence exception.","Table 10's caption ends 'Hash-frozen in algorithm_freeze_manifest.json.' and its Notes column contains the dataclass field 'np_init_mult=5'; the N_min cell reads '25 at D >= 50 (12 bare)', where 'bare' is the project's internal name for the dataclass fallback; the section header reads 'Run-level (reserved; from problem/options)'. The caption states 'Where a value varies by dimension tier, the four tiers D<20 / 20-49 / 50-99 / >=100 are shown', but no row displays four tier values. The MaxFES cell reads only '10^4 D', whereas Table 3 gives '(10^4 D; 150,000 on CEC2011)' and Table 12 gives 150,000 for CEC2011 - and the same table's bounds row does carry a CEC2011 note, so the omission is inconsistent within one table. Separately, Table 2's caption says linkage blocks are 're-extracted every fifth generation' while Sec.3.4 adds 'at D >= 100, every 10 and 20 generations respectively'.",Canonical transcription from parameter_table.md carried the build vocabulary straight through to the page.,"Sec.10.17.4 prohibits internal engineering nouns, dataclass or field names and build-artifact filenames on reader-facing surfaces; its carve-out is for a single archival identifier in the Data-Availability statement, which a parameter-table caption is not.",Authorship-quality defect (Gate N and Gate M); no scientific consequence. Note the main text is otherwise clean: a scan of the rendered PDF found zero release-ID caption stamps and only three file tokens in total.,"Replace the caption's filename with natural wording (for example 'the configuration is hash-frozen in the reproducibility bundle accompanying this article'); replace 'np_init_mult=5' with 'population multiplier 5'; replace '(12 bare)' with '(12 below that tier)'; drop or rephrase 'reserved; from problem/options'; either display four tier values somewhere or reword the caption; add the CEC2011 150,000 exception to the MaxFES cell; and add the D>=100 cadence exception to Table 2's caption.","Keep the filename but move it to the Data-Availability statement, which already legitimately carries environment.json and runbook.md.",None.,None.,No build-internal token remains in any main-text exhibit.,"grep the rebuilt PDF and DOCX for '.json', '.py' and field-assignment patterns inside exhibit captions and cells; expect only the Data-Availability occurrences.",open
S13-16,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Minor,P3,High,citation,"main PDF p.11, Figure 1 caption; sections/proposed_algorithm.tex:161-165; papers/figures/concept/fig_gsk_flowchart_src.tex:1-2",FIG-1 (fig:gsk-flowchart),A figure depicting another paper's published algorithm carries no citation in its caption.,"The Figure 1 caption reads in full 'Flowchart of the base GSK algorithm: a single generation loop of fitness evaluation, gained-shared dimension counting, the junior and senior gaining-sharing knowledge phases, and greedy update, repeated until the termination criterion is met.' - there is no \cite anywhere in it. The TikZ source header records that the diagram is drawn 'in the same clean vertical style as the original GSK paper (Fig. 10)'.",The caption was written as a description of the redrawn content rather than as an attributed reproduction.,"Stage 13 asks whether each exhibit has an authoritative source. A redrawn figure of a published algorithm should name that source in the caption, both for attribution and so the reader can check fidelity.","Attribution hygiene; low risk but very easy for a reviewer to raise, and the surrounding prose cites [5] heavily so the omission stands out.","Append a citation and an adaptation note to the caption, for example 'Redrawn after the original GSK formulation [5]; no part of that figure is reproduced verbatim.'",Cite [5] in the caption's opening clause: 'Flowchart of the base GSK algorithm [5]: ...'.,"Confirmation that the layout is an independent redraw rather than a reproduction, so that no reuse permission is required.",None.,Attribution visible at the point of use.,Confirm the rebuilt Figure 1 caption contains a resolved citation in both PDF and DOCX.,open
S13-17,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Minor,P3,Confirmed,exhibit,"main PDF pp.11 and 13, Figures 1 and 2; fig_gsk_flowchart_src.tex:37-48; fig_dtgsk_flowchart_src.tex:40-62","FIG-1, FIG-2","The base-versus-proposed flowchart pair does not use the same conventions, so the at-a-glance comparison the caption promises does not work.","Figure 2's caption claims it is 'drawn in the same style as Figure 1 for direct comparison'. In fact Figure 1 renders the junior and senior phases as two side-by-side half-boxes and routes the termination decision with 'End' to the LEFT and the No-branch to the right rail, whereas Figure 2 merges the two phases into a single box and places 'End' BELOW the decision with the No-branch on the right. Gate notation also differs within and across the pair: Figure 2 writes '($D\ge10$; else the KR mask)' in one box and '$[D\ge50]$' in three others, while Algorithm 1 writes 'if D>=50:'.",The two diagrams were drawn at different times against different layout templates.,"Sec.10.17.6: where a base-versus-proposed pair is shown, the two must use the same conventions so the differences read at a glance.",Presentation quality; the pair currently forces the reader to re-orient between the two figures instead of reading off the difference.,"Unify the pair: the same phase decomposition (either both split or both merged), the same decision-branch geometry, and one gate notation shared by both diagrams and Algorithm 1.",Place the two diagrams side by side as one two-panel figure with a shared legend of the box conventions.,None.,Fix in the same pass as S13-08.,The added mechanisms read as the visual difference between two otherwise identical charts.,Visual check of the rebuilt pair at final size.,open
S13-18,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Minor,P3,Confirmed,exhibit,main PDF p.13 Table 4 row 4; main PDF p.18 Table 9 row 2,"TAB-4, TAB-9",Two main-text tables state different gating for the same interaction graph.,Table 4 row 4 reads 'ISM interaction-structure memory ... accepted-move EMA graph; acts when conf(Gabs) >= kappa_min'. Table 9 row 2 reads 'The linkage-crossover consumer acts only when the magnitude-graph confidence conf(Gabs) >= kappa_min; the eigenframe polish reads Gsigned and fires on any non-zero signed signal (no confidence gate).',Table 4's compressed role cell states the gate for one of the graph's two consumers as though it applied to the subsystem as a whole.,Stage 13 requires exhibits to agree with one another and with the prose. Table 9's statement is the precise one and matches the frozen operator; Table 4 over-generalises it.,Minor internal inconsistency about a mechanism gate; a careful reviewer will notice it and ask which is right.,Reword Table 4 row 4 to 'accepted-move EMA graph; its linkage-block consumer acts when conf(Gabs) >= kappa_min (the eigenframe polish is not confidence-gated - see Table 9)'.,Drop the gate clause from Table 4 and let Table 9 carry it alone.,None.,None.,One statement of the confidence gate across the main text.,Compare the rebuilt Table 4 row 4 and Table 9 row 2 text.,open
S13-19,"Stage 13 - Figures, tables, equations, algorithms (Gate M)",VIZ / T5-WRITE (seat s13_exhibits),Minor,P3,Confirmed,exhibit,"main PDF p.26, Figure 3; papers/scripts/generate_rank_charts.py:85-92 and :244; compare papers/scripts/_convergence_common.py:60-66",FIG-3 (fig:cec2017-ranks),"Figure 3 distinguishes seven algorithms by fill colour alone, with no redundant non-colour encoding.","generate_rank_charts.py:85-92 defines the Okabe-Ito palette (#999999, #E69F00, #56B4E9, #009E73, #CC79A7, #0072B2, #000000), which is correctly colour-vision-deficiency safe, and line 244 draws the bars with color=P3_COLOR[alg], edgecolor='white' and no hatch. By contrast _convergence_common.py:60-66 pairs the same palette with seven distinct dash patterns, so the convergence figures do survive grayscale.",Redundant encoding was applied to the line figures but not to the bar figure.,Stage 13's accessibility check asks for readability in grayscale as well as under CVD. The CVD half is already satisfied here; the grayscale half is not.,"Low - Algorithms (MDPI) is colour-online - but grayscale printing and photocopied reading remain common, and the check is explicit in the mandate.","Add seven distinct hatch patterns (or varied bar edge styles) to the Figure 3 bars, keyed to the fixed panel order, and keep the existing palette.",Print each bar's value above it so identity can be recovered against Table 13 even without colour.,None.,Moot if S13-14 removes Figure 3 from the main text.,Figure 3 remains readable in grayscale.,Convert the regenerated figure to grayscale and confirm the seven series remain distinguishable.,open
